Algoritmo,BER,Repeticao,Bytes_TCP,Bytes_Totais,Eficiencia,Vazao_TCP_Mbps
reno,1e-06,1,209052192,209534762,0.9977,160.0
reno,1e-06,2,193606512,194042192,0.9978,150.0
reno,1e-06,3,200033360,200506108,0.9976,154.0
reno,1e-05,1,209594504,210086810,0.9977,161.0
reno,1e-05,2,209871136,210363520,0.9977,161.0
reno,1e-05,3,203626536,204094146,0.9977,157.0
cubic,1e-06,1,193302296,193717692,0.9979,153.0
cubic,1e-06,2,197146736,197564572,0.9979,155.0
cubic,1e-06,3,200078936,200515332,0.9978,157.0
cubic,1e-05,1,199567792,200008016,0.9978,158.0
cubic,1e-05,2,213310760,213769026,0.9979,168.0
cubic,1e-05,3,189958864,190372526,0.9978,149.0
