Algoritmo,BER,Repeticao,Bytes_TCP,Bytes_Totais,Eficiencia,Vazao_TCP_Mbps
reno,1e-05,1,44989448,47007386,0.9571,10.6
reno,1e-05,2,39930136,41681160,0.958,10.6
reno,1e-05,3,39843256,41628428,0.9571,10.0
reno,1e-05,4,43676112,45631996,0.9571,11.6
reno,1e-05,5,38431456,40160604,0.9569,10.2
reno,1e-05,6,37924656,39659112,0.9563,10.1
reno,1e-05,7,46198528,48234254,0.9578,12.3
reno,1e-05,8,56525056,58474956,0.9667,13.3
cubic,1e-05,1,14284608,15098604,0.9461,3.62
cubic,1e-05,2,17135720,18152580,0.944,4.49
cubic,1e-05,3,18469328,19618370,0.9414,4.81
cubic,1e-05,4,16081576,17046372,0.9434,4.25
cubic,1e-05,5,16624576,17616956,0.9437,4.44
cubic,1e-05,6,18269504,19385514,0.9424,4.88
cubic,1e-05,7,15744192,16698910,0.9428,4.13
cubic,1e-05,8,17002504,18037292,0.9426,4.45
reno,1e-06,1,593260168,596789640,0.9941,156.0
reno,1e-06,2,578846776,582463256,0.9938,153.0
reno,1e-06,3,587789624,591450890,0.9938,155.0
reno,1e-06,4,588341312,592010176,0.9938,157.0
reno,1e-06,5,574090328,577505394,0.9941,152.0
reno,1e-06,6,585259968,588813914,0.994,154.0
reno,1e-06,7,595337400,599097840,0.9937,156.0
reno,1e-06,8,591513880,595177000,0.9938,156.0
cubic,1e-06,1,580339664,584967346,0.9921,154.0
cubic,1e-06,2,605927272,611154842,0.9914,161.0
cubic,1e-06,3,584424472,590541698,0.9896,156.0
cubic,1e-06,4,591156224,596764794,0.9906,157.0
cubic,1e-06,5,585189016,590638486,0.9908,156.0
cubic,1e-06,6,600755016,605910448,0.9915,160.0
cubic,1e-06,7,613200576,619534830,0.9898,163.0
cubic,1e-06,8,614642784,620710396,0.9902,164.0
